Case 1
   Query 385: 384
   Query 386: 528
   Query 387: 192
   Query 388: 528
   Query 389: 96
   Query 390: 264
   Query 391: 728
   Query 392: 144
   Query 393: 672
   Query 394: 528
   Query 395: 624
   Query 396: 648
   Query 397: 528
   Query 398: 144
   Query 399: 144
   Query 400: 528
   Query 401: 258
   Query 402: 648
   Query 403: 168
   Query 404: 528
   Query 405: 528
   Query 406: 432
   Query 407: 224
   Query 408: 528
   Query 409: 64
   Query 410: 144
   Query 411: 144
   Query 412: 96
   Query 413: 528
   Query 414: 144
   Query 415: 144
   Query 416: 642
   Query 417: 552
   Query 418: 144
   Query 419: 832
   Query 420: 357
   Query 421: 528
   Query 422: 480
   Query 423: 72
   Query 424: 882
   Query 425: 768
   Query 426: 144
   Query 427: 144
   Query 428: 528
   Query 429: 528
   Query 430: 144
   Query 431: 144
   Query 432: 144
   Query 433: 432
   Query 434: 528
   Query 435: 48
   Query 436: 336
   Query 437: 528
   Query 438: 144
   Query 439: 426
   Query 440: 24
   Query 441: 144
   Query 442: 0
   Query 443: 464
   Query 444: 30
   Query 445: 528
   Query 446: 752
   Query 447: 360
   Query 448: 816
   Query 449: 624
   Query 450: 336
   Query 451: 144
   Query 452: 298
   Query 453: 576
   Query 454: 144
   Query 455: 144
   Query 456: 468
   Query 457: 300
   Query 458: 144
   Query 459: 376
   Query 460: 216
   Query 461: 384
   Query 462: 96
   Query 463: 72
   Query 464: 312
   Query 465: 600
   Query 466: 858
   Query 467: 532
   Query 468: 600
   Query 469: 504
   Query 470: 496
   Query 471: 528
   Query 472: 752
   Query 473: 496
   Query 474: 864
   Query 475: 528
   Query 476: 648
   Query 477: 864
   Query 478: 72
   Query 479: 224
   Query 480: 480
   Query 481: 0
   Query 482: 642
   Query 483: 448
   Query 484: 792
   Query 485: 416
   Query 486: 528
   Query 487: 240
   Query 488: 528
   Query 489: 144
   Query 490: 384
   Query 491: 192
   Query 492: 696
   Query 493: 144
   Query 494: 528
   Query 495: 636
   Query 496: 144
   Query 497: 144
   Query 498: 768
   Query 499: 288
   Query 500: 192
   Query 501: 720
   Query 502: 156
   Query 503: 656
   Query 504: 700
   Query 505: 72
   Query 506: 528
   Query 507: 72
   Query 508: 272
   Query 509: 528
   Query 510: 504
   Query 511: 96
   Query 512: 192
   Query 513: 600
   Query 514: 120
   Query 515: 72
   Query 516: 144
   Query 517: 216
   Query 518: 528
   Query 519: 648
   Query 520: 864
   Query 521: 488
   Query 522: 432
   Query 523: 768
   Query 524: 528
   Query 525: 144
   Query 526: 528
   Query 527: 528
   Query 528: 552
   Query 529: 528
   Query 530: 144
   Query 531: 600
   Query 532: 600
   Query 533: 186
   Query 534: 666
   Query 535: 144
   Query 536: 768
   Query 537: 756
   Query 538: 384
   Query 539: 144
   Query 540: 528
   Query 541: 144
   Query 542: 336
   Query 543: 6
   Query 544: 528
   Query 545: 224
   Query 546: 120
   Query 547: 144
   Query 548: 396
   Query 549: 576
   Query 550: 144
   Query 551: 144
   Query 552: 624
   Query 553: 720
   Query 554: 528
   Query 555: 144
   Query 556: 432
   Query 557: 300
   Query 558: 528
   Query 559: 864
   Query 560: 144
   Query 561: 144
   Query 562: 32
   Query 563: 144
   Query 564: 192
   Query 565: 360
   Query 566: 672
   Query 567: 216
   Query 568: 528
   Query 569: 648
   Query 570: 792
   Query 571: 372
   Query 572: 144
   Query 573: 794
   Query 574: 336
   Query 575: 72
   Query 576: 864
   Query 577: 240
   Query 578: 624
   Query 579: 816
   Query 580: 528
   Query 581: 528
   Query 582: 684
   Query 583: 168
   Query 584: 752
   Query 585: 32
   Query 586: 680
   Query 587: 72
   Query 588: 904
   Query 589: 794
   Query 590: 528
   Query 591: 360
   Query 592: 144
   Query 593: 144
   Query 594: 144
   Query 595: 192
   Query 596: 696
   Query 597: 456
   Query 598: 432
   Query 599: 600
   Query 600: 0
   Query 601: 160
   Query 602: 72
   Query 603: 408
   Query 604: 600
   Query 605: 816
   Query 606: 288
   Query 607: 120
   Query 608: 144
   Query 609: 48
   Query 610: 528
   Query 611: 600
   Query 612: 144
   Query 613: 168
   Query 614: 528
   Query 615: 48
   Query 616: 528
   Query 617: 144
   Query 618: 416
   Query 619: 144
   Query 620: 528
   Query 621: 144
   Query 622: 528
   Query 623: 24
   Query 624: 342
   Query 625: 384
   Query 626: 456
   Query 627: 384
   Query 628: 72
   Query 629: 600
   Query 630: 768
   Query 631: 416
   Query 632: 336
   Query 633: 528
   Query 634: 144
   Query 635: 144
   Query 636: 408
   Query 637: 222
   Query 638: 528
   Query 639: 144
   Query 640: 528
   Query 641: 296
   Query 642: 908
   Query 643: 540
   Query 644: 756
   Query 645: 600
   Query 646: 528
   Query 647: 144
   Query 648: 72
   Query 649: 864
   Query 650: 336
   Query 651: 816
   Query 652: 432
   Query 653: 144
   Query 654: 144
   Query 655: 768
   Query 656: 528
   Query 657: 528
   Query 658: 144
   Query 659: 216
   Query 660: 24
   Query 661: 144
   Query 662: 528
   Query 663: 624
   Query 664: 448
   Query 665: 600
   Query 666: 648
   Query 667: 528
   Query 668: 336
   Query 669: 432
   Query 670: 528
   Query 671: 528
   Query 672: 216
   Query 673: 144
   Query 674: 528
   Query 675: 528
   Query 676: 336
   Query 677: 144
   Query 678: 192
   Query 679: 144
   Query 680: 72
   Query 681: 240
   Query 682: 144
   Query 683: 312
   Query 684: 480
   Query 685: 552
   Query 686: 336
   Query 687: 528
   Query 688: 624
   Query 689: 840
   Query 690: 352
   Query 691: 504
   Query 692: 448
   Query 693: 720
   Query 694: 144
   Query 695: 96
   Query 696: 528
   Query 697: 144
   Query 698: 480
   Query 699: 144
   Query 700: 72
   Query 701: 96
   Query 702: 144
   Query 703: 720
   Query 704: 144
   Query 705: 432
   Query 706: 72
   Query 707: 0
   Query 708: 528
   Query 709: 48
   Query 710: 288
   Query 711: 144
   Query 712: 144
   Query 713: 144
   Query 714: 144
   Query 715: 864
   Query 716: 192
   Query 717: 528
   Query 718: 288
   Query 719: 720
   Query 720: 552
   Query 721: 288
   Query 722: 72
   Query 723: 528
   Query 724: 144
   Query 725: 528
   Query 726: 832
   Query 727: 528
   Query 728: 528
   Query 729: 0
   Query 730: 0
   Query 731: 528
   Query 732: 720
   Query 733: 186
   Query 734: 816
   Query 735: 48
   Query 736: 144
   Query 737: 480
   Query 738: 904
   Query 739: 240
   Query 740: 800
   Query 741: 648
   Query 742: 560
   Query 743: 304
   Query 744: 288
   Query 745: 768
   Query 746: 600
   Query 747: 864
   Query 748: 528
   Query 749: 30
   Query 750: 144
   Query 751: 528
   Query 752: 528
   Query 753: 840
   Query 754: 144
   Query 755: 528
   Query 756: 144
   Query 757: 816
   Query 758: 144
   Query 759: 144
   Query 760: 96
   Query 761: 480
   Query 762: 160
   Query 763: 720
   Query 764: 528
   Query 765: 288
   Query 766: 828
   Query 767: 144
   Query 768: 672
   Query 769: 224
   Query 770: 72
   Query 771: 144
   Query 772: 144
   Query 773: 312
   Query 774: 546
   Query 775: 72
   Query 776: 72
   Query 777: 144
   Query 778: 144
   Query 779: 144
   Query 780: 144
   Query 781: 216
   Query 782: 528
   Query 783: 144
   Query 784: 528
   Query 785: 144
   Query 786: 144
   Query 787: 832
   Query 788: 144
   Query 789: 752
   Query 790: 752
   Query 791: 792
   Query 792: 144
   Query 793: 96
   Query 794: 144
   Query 795: 528
   Query 796: 864
   Query 797: 288
   Query 798: 56
   Query 799: 144
   Query 800: 528
   Query 801: 864
   Query 802: 288
   Query 803: 192
   Query 804: 144
   Query 805: 528
   Query 806: 144
   Query 807: 752
   Query 808: 144
   Query 809: 336
   Query 810: 780
   Query 811: 72
   Query 812: 528
   Query 813: 789
   Query 814: 882
   Query 815: 600
   Query 816: 80
   Query 817: 828
   Query 818: 120
   Query 819: 720
   Query 820: 24
   Query 821: 456
   Query 822: 396
   Query 823: 72
   Query 824: 144
   Query 825: 624
   Query 826: 672
   Query 827: 624
   Query 828: 528
   Query 829: 528
   Query 830: 752
   Query 831: 96
   Query 832: 816
   Query 833: 144
   Query 834: 144
   Query 835: 144
   Query 836: 360
   Query 837: 144
   Query 838: 528
   Query 839: 816
   Query 840: 528
   Query 841: 192
   Query 842: 528
   Query 843: 720
   Query 844: 264
   Query 845: 528
   Query 846: 72
   Query 847: 528
   Query 848: 528
   Query 849: 396
   Query 850: 600
   Query 851: 528
   Query 852: 72
   Query 853: 144
   Query 854: 288
   Query 855: 528
   Query 856: 0
   Query 857: 672
   Query 858: 528
   Query 859: 756
   Query 860: 752
   Query 861: 264
   Query 862: 864
   Query 863: 528
   Query 864: 72
   Query 865: 600
   Query 866: 528
   Query 867: 528
   Query 868: 144
   Query 869: 90
   Query 870: 72
   Query 871: 324
   Query 872: 528
   Query 873: 384
   Query 874: 504
   Query 875: 600
   Query 876: 600
   Query 877: 72
   Query 878: 648
   Query 879: 600
   Query 880: 168
   Query 881: 144
   Query 882: 528
   Query 883: 720
   Query 884: 144
   Query 885: 288
   Query 886: 816
   Query 887: 45
   Query 888: 24
   Query 889: 528
   Query 890: 828
   Query 891: 600
   Query 892: 384
   Query 893: 528
   Query 894: 528
   Query 895: 240
   Query 896: 282
   Query 897: 168
   Query 898: 672
   Query 899: 720
   Query 900: 144
   Query 901: 832
   Query 902: 528
   Query 903: 120
   Query 904: 832
   Query 905: 528
   Query 906: 112
   Query 907: 120
   Query 908: 72
   Query 909: 528
   Query 910: 144
   Query 911: 828
   Query 912: 192
   Query 913: 306
   Query 914: 120
   Query 915: 132
   Query 916: 144
   Query 917: 744
   Query 918: 528
   Query 919: 72
   Query 920: 376
   Query 921: 144
   Query 922: 360
   Query 923: 144
   Query 924: 144
   Query 925: 496
   Query 926: 144
   Query 927: 144
   Query 928: 0
   Query 929: 432
   Query 930: 168
   Query 931: 528
   Query 932: 294
   Query 933: 144
   Query 934: 720
   Query 935: 528
   Query 936: 144
   Query 937: 448
   Query 938: 72
   Query 939: 856
   Query 940: 528
   Query 941: 144
   Query 942: 648
   Query 943: 528
   Query 944: 72
   Query 945: 144
   Query 946: 528
   Query 947: 144
   Query 948: 408
   Query 949: 824
   Query 950: 144
   Query 951: 144
   Query 952: 144
   Query 953: 432
   Query 954: 192
   Query 955: 832
   Query 956: 528
   Query 957: 96
   Query 958: 144
Case 8
   Query 1: 432
   Query 2: 336
   Query 3: 195
   Query 4: 294
   Query 5: 24
   Query 6: 648
   Query 7: 42
   Query 8: 828
   Query 9: 756
   Query 10: 768
   Query 11: 744
   Query 12: 720
   Query 13: 96
   Query 14: 651
   Query 15: 816
   Query 16: 408
   Query 17: 288
   Query 18: 720
   Query 19: 798
   Query 20: 396
   Query 21: 264
   Query 22: 372
   Query 23: 78
   Query 24: 654
   Query 25: 762
   Query 26: 24
   Query 27: 712
   Query 28: 336
   Query 29: 192
   Query 30: 693
   Query 31: 510
   Query 32: 768
   Query 33: 756
   Query 34: 184
   Query 35: 672
   Query 36: 336
   Query 37: 888
   Query 38: 198
   Query 39: 390
   Query 40: 288
   Query 41: 0
   Query 42: 6
   Query 43: 480
   Query 44: 96
   Query 45: 576
   Query 46: 240
   Query 47: 468
   Query 48: 201
   Query 49: 864
   Query 50: 888
   Query 51: 72
   Query 52: 750
   Query 53: 660
   Query 54: 504
   Query 55: 144
   Query 56: 648
   Query 57: 384
   Query 58: 819
   Query 59: 402
   Query 60: 598
   Query 61: 24
   Query 62: 864
   Query 63: 312
   Query 64: 294
   Query 65: 780
   Query 66: 312
   Query 67: 288
   Query 68: 792
   Query 69: 612
   Query 70: 672
   Query 71: 408
   Query 72: 216
   Query 73: 384
   Query 74: 408
   Query 75: 264
   Query 76: 741
   Query 77: 252
   Query 78: 408
   Query 79: 108
   Query 80: 633
   Query 81: 189
   Query 82: 804
   Query 83: 570
   Query 84: 495
   Query 85: 816
   Query 86: 120
   Query 87: 12
   Query 88: 804
   Query 89: 384
   Query 90: 828
   Query 91: 336
   Query 92: 198
   Query 93: 744
   Query 94: 867
   Query 95: 216
   Query 96: 336
   Query 97: 54
   Query 98: 768
   Query 99: 648
   Query 100: 864
   Query 101: 186
   Query 102: 252
   Query 103: 504
   Query 104: 774
   Query 105: 756
   Query 106: 816
   Query 107: 11
   Query 108: 27
   Query 109: 360
   Query 110: 138
   Query 111: 96
   Query 112: 660
   Query 113: 600
   Query 114: 240
   Query 115: 192
   Query 116: 642
   Query 117: 903
   Query 118: 885
   Query 119: 768
   Query 120: 408
   Query 121: 30
   Query 122: 756
   Query 123: 426
   Query 124: 120
   Query 125: 420
   Query 126: 222
   Query 127: 828
   Query 128: 312
   Query 129: 336
   Query 130: 432
   Query 131: 330
   Query 132: 216
   Query 133: 504
   Query 134: 717
   Query 135: 744
   Query 136: 876
   Query 137: 312
   Query 138: 654
   Query 139: 408
   Query 140: 384
   Query 141: 276
   Query 142: 144
   Query 143: 192
   Query 144: 258
   Query 145: 864
   Query 146: 252
   Query 147: 864
   Query 148: 696
   Query 149: 888
   Query 150: 288
   Query 151: 672
   Query 152: 207
   Query 153: 864
   Query 154: 336
   Query 155: 792
   Query 156: 408
   Query 157: 744
   Query 158: 384
   Query 159: 876
   Query 160: 576
   Query 161: 864
   Query 162: 585
   Query 163: 582
   Query 164: 432
   Query 165: 708
   Query 166: 408
   Query 167: 180
   Query 168: 816
   Query 169: 744
   Query 170: 876
   Query 171: 672
   Query 172: 396
   Query 173: 156
   Query 174: 648
   Query 175: 480
   Query 176: 744
   Query 177: 432
   Query 178: 0
   Query 179: 384
   Query 180: 552
   Query 181: 672
   Query 182: 25
   Query 183: 228
   Query 184: 480
   Query 185: 636
   Query 186: 36
   Query 187: 720
   Query 188: 720
   Query 189: 0
   Query 190: 636
   Query 191: 864
   Query 192: 516
   Query 193: 564
   Query 194: 600
   Query 195: 48
   Query 196: 648
   Query 197: 80
   Query 198: 192
   Query 199: 300
   Query 200: 456
   Query 201: 312
   Query 202: 480
   Query 203: 312
   Query 204: 408
   Query 205: 648
   Query 206: 693
   Query 207: 816
   Query 208: 264
   Query 209: 543
   Query 210: 654
   Query 211: 876
   Query 212: 66
   Query 213: 60
   Query 214: 276
   Query 215: 84
   Query 216: 27
   Query 217: 360
   Query 218: 48
   Query 219: 0
   Query 220: 192
   Query 221: 648
   Query 222: 864
   Query 223: 546
   Query 224: 285
   Query 225: 336
   Query 226: 840
   Query 227: 528
   Query 228: 456
   Query 229: 312
   Query 230: 54
   Query 231: 756
   Query 232: 756
   Query 233: 648
   Query 234: 366
   Query 235: 294
   Query 236: 264
   Query 237: 576
   Query 238: 216
   Query 239: 66
   Query 240: 360
   Query 241: 672
   Query 242: 720
   Query 243: 186
   Query 244: 408
   Query 245: 192
   Query 246: 720
   Query 247: 888
   Query 248: 864
   Query 249: 828
   Query 250: 888
   Query 251: 96
   Query 252: 528
   Query 253: 144
   Query 254: 648
   Query 255: 624
   Query 256: 156
   Query 257: 192
   Query 258: 744
   Query 259: 591
   Query 260: 744
   Query 261: 648
   Query 262: 843
   Query 263: 864
   Query 264: 618
   Query 265: 48
   Query 266: 543
   Query 267: 312
   Query 268: 300
   Query 269: 369
   Query 270: 564
   Query 271: 762
   Query 272: 252
   Query 273: 264
   Query 274: 408
   Query 275: 72
   Query 276: 96
   Query 277: 426
   Query 278: 663
   Query 279: 537
   Query 280: 240
   Query 281: 198
   Query 282: 258
   Query 283: 408
   Query 284: 624
   Query 285: 528
   Query 286: 60
   Query 287: 792
   Query 288: 600
   Query 289: 180
   Query 290: 624
   Query 291: 600
   Query 292: 792
   Query 293: 216
   Query 294: 120
   Query 295: 876
   Query 296: 480
   Query 297: 624
   Query 298: 372
   Query 299: 360
   Query 300: 111
   Query 301: 453
   Query 302: 888
   Query 303: 192
   Query 304: 852
   Query 305: 648
   Query 306: 42
   Query 307: 660
   Query 308: 300
   Query 309: 768
   Query 310: 60
   Query 311: 168
   Query 312: 84
   Query 313: 672
   Query 314: 0
   Query 315: 888
   Query 316: 552
   Query 317: 768
   Query 318: 120
   Query 319: 672
   Query 320: 552
   Query 321: 600
   Query 322: 528
   Query 323: 408
   Query 324: 456
   Query 325: 663
   Query 326: 264
   Query 327: 156
   Query 328: 180
   Query 329: 60
   Query 330: 684
   Query 331: 882
   Query 332: 651
   Query 333: 552
   Query 334: 864
   Query 335: 288
   Query 336: 96
   Query 337: 327
   Query 338: 534
   Query 339: 312
   Query 340: 432
   Query 341: 432
   Query 342: 468
   Query 343: 60
   Query 344: 288
   Query 345: 456
   Query 346: 30
   Query 347: 48
   Query 348: 414
   Query 349: 333
   Query 350: 816
   Query 351: 864
   Query 352: 480
   Query 353: 291
   Query 354: 144
   Query 355: 864
   Query 356: 714
   Query 357: 456
   Query 358: 432
   Query 359: 294
   Query 360: 408
   Query 361: 540
   Query 362: 144
   Query 363: 882
   Query 364: 672
   Query 365: 372
   Query 366: 704
   Query 367: 216
   Query 368: 624
   Query 369: 408
   Query 370: 402
   Query 371: 486
   Query 372: 384
   Query 373: 402
   Query 374: 108
   Query 375: 729
   Query 376: 216
   Query 377: 456
   Query 378: 792
   Query 379: 864
   Query 380: 600
   Query 381: 768
   Query 382: 72
   Query 383: 180
   Query 384: 510
   Query 385: 528
   Query 386: 288
   Query 387: 864
   Query 388: 384
   Query 389: 864
   Query 390: 642
   Query 391: 370
   Query 392: 237
   Query 393: 576
   Query 394: 402
   Query 395: 816
   Query 396: 348
   Query 397: 672
   Query 398: 672
   Query 399: 648
   Query 400: 420
   Query 401: 192
   Query 402: 24
   Query 403: 876
   Query 404: 72
   Query 405: 864
   Query 406: 432
   Query 407: 426
   Query 408: 744
   Query 409: 372
   Query 410: 864
   Query 411: 123
   Query 412: 24
   Query 413: 528
   Query 414: 426
   Query 415: 480
   Query 416: 180
   Query 417: 432
   Query 418: 360
   Query 419: 12
   Query 420: 664
   Query 421: 408
   Query 422: 507
   Query 423: 180
   Query 424: 432
   Query 425: 666
   Query 426: 384
   Query 427: 783
   Query 428: 351
   Query 429: 504
   Query 430: 693
   Query 431: 24
   Query 432: 72
   Query 433: 642
   Query 434: 504
   Query 435: 720
   Query 436: 474
   Query 437: 72
   Query 438: 630
   Query 439: 12
   Query 440: 462
   Query 441: 672
   Query 442: 600
   Query 443: 522
   Query 444: 456
   Query 445: 123
   Query 446: 552
   Query 447: 888
   Query 448: 276
   Query 449: 522
   Query 450: 840
   Query 451: 432
   Query 452: 120
   Query 453: 72
   Query 454: 180
   Query 455: 642
   Query 456: 96
   Query 457: 648
   Query 458: 894
   Query 459: 564
   Query 460: 264
   Query 461: 864
   Query 462: 240
   Query 463: 300
   Query 464: 792
   Query 465: 72
   Query 466: 546
   Query 467: 672
   Query 468: 144
   Query 469: 72
   Query 470: 792
   Query 471: 492
   Query 472: 651
   Query 473: 720
   Query 474: 144
   Query 475: 114
   Query 476: 756
   Query 477: 456
   Query 478: 792
   Query 479: 654
   Query 480: 180
   Query 481: 60
   Query 482: 264
   Query 483: 729
   Query 484: 660
   Query 485: 24
   Query 486: 528
   Query 487: 816
   Query 488: 744
   Query 489: 477
   Query 490: 624
   Query 491: 696
   Query 492: 72
   Query 493: 873
   Query 494: 732
   Query 495: 432
   Query 496: 108
   Query 497: 324
   Query 498: 864
   Query 499: 120
   Query 500: 720
   Query 501: 780
   Query 502: 552
   Query 503: 75
   Query 504: 888
   Query 505: 408
   Query 506: 360
   Query 507: 384
   Query 508: 0
   Query 509: 672
   Query 510: 168
   Query 511: 0
   Query 512: 864
   Query 513: 189
   Query 514: 864
   Query 515: 312
   Query 516: 192
   Query 517: 480
   Query 518: 648
   Query 519: 711
   Query 520: 636
   Query 521: 96
   Query 522: 99
   Query 523: 762
   Query 524: 508
   Query 525: 192
   Query 526: 256
   Query 527: 864
   Query 528: 414
   Query 529: 24
   Query 530: 852
   Query 531: 336
   Query 532: 366
   Query 533: 424
   Query 534: 432
   Query 535: 408
   Query 536: 288
   Query 537: 456
   Query 538: 660
   Query 539: 533
   Query 540: 636
   Query 541: 6
   Query 542: 312
   Query 543: 864
   Query 544: 744
   Query 545: 852
   Query 546: 264
   Query 547: 819
   Query 548: 636
   Query 549: 864
   Query 550: 24
   Query 551: 567
   Query 552: 240
   Query 553: 408
   Query 554: 576
   Query 555: 576
   Query 556: 72
   Query 557: 180
   Query 558: 306
   Query 559: 486
   Query 560: 552
   Query 561: 150
   Query 562: 82
   Query 563: 489
   Query 564: 192
   Query 565: 852
   Query 566: 160
   Query 567: 372
   Query 568: 864
   Query 569: 588
   Query 570: 171
   Query 571: 768
   Query 572: 120
   Query 573: 162
   Query 574: 804
   Query 575: 408
   Query 576: 504
   Query 577: 798
   Query 578: 252
   Query 579: 750
   Query 580: 120
   Query 581: 489
   Query 582: 576
   Query 583: 456
   Query 584: 456
   Query 585: 408
   Query 586: 888
   Query 587: 315
   Query 588: 564
   Query 589: 600
   Query 590: 630
   Query 591: 816
   Query 592: 144
   Query 593: 123
   Query 594: 276
   Query 595: 864
   Query 596: 522
   Query 597: 864
   Query 598: 306
   Query 599: 852
   Query 600: 390
   Query 601: 324
   Query 602: 354
   Query 603: 672
   Query 604: 372
   Query 605: 57
   Query 606: 576
   Query 607: 636
   Query 608: 594
   Query 609: 714
   Query 610: 795
   Query 611: 618
   Query 612: 600
   Query 613: 504
   Query 614: 552
   Query 615: 504
   Query 616: 720
   Query 617: 615
   Query 618: 672
   Query 619: 720
   Query 620: 522
   Query 621: 552
   Query 622: 492
   Query 623: 24
   Query 624: 312
   Query 625: 888
   Query 626: 72
   Query 627: 450
   Query 628: 348
   Query 629: 66
   Query 630: 336
   Query 631: 83
   Query 632: 768
   Query 633: 576
   Query 634: 66
   Query 635: 576
   Query 636: 60
   Query 637: 870
   Query 638: 258
   Query 639: 288
   Query 640: 534
   Query 641: 222
   Query 642: 42
   Query 643: 849
   Query 644: 66
   Query 645: 12
   Query 646: 342
   Query 647: 588
   Query 648: 24
   Query 649: 216
   Query 650: 360
   Query 651: 408
   Query 652: 378
   Query 653: 408
   Query 654: 180
   Query 655: 768
   Query 656: 642
   Query 657: 147
   Query 658: 792
   Query 659: 237
   Query 660: 714
   Query 661: 576
   Query 662: 552
   Query 663: 96
   Query 664: 360
   Query 665: 24
   Query 666: 480
   Query 667: 15
   Query 668: 348
   Query 669: 768
   Query 670: 336
   Query 671: 144
   Query 672: 168
   Query 673: 255
   Query 674: 168
   Query 675: 378
   Query 676: 312
   Query 677: 549
   Query 678: 864
   Query 679: 336
   Query 680: 291
   Query 681: 180
   Query 682: 312
   Query 683: 264
   Query 684: 636
   Query 685: 816
   Query 686: 0
   Query 687: 216
   Query 688: 123
   Query 689: 126
   Query 690: 480
   Query 691: 676
   Query 692: 684
   Query 693: 612
   Query 694: 888
   Query 695: 768
   Query 696: 864
   Query 697: 672
   Query 698: 96
   Query 699: 564
   Query 700: 726
   Query 701: 156
   Query 702: 576
   Query 703: 504
   Query 704: 828
   Query 705: 552
   Query 706: 864
   Query 707: 828
   Query 708: 123
   Query 709: 288
   Query 710: 144
   Query 711: 690
   Query 712: 408
   Query 713: 24
   Query 714: 252
   Query 715: 84
   Query 716: 0
   Query 717: 120
   Query 718: 408
   Query 719: 594
   Query 720: 648
   Query 721: 756
   Query 722: 816
   Query 723: 48
   Query 724: 660
   Query 725: 768
   Query 726: 204
   Query 727: 672
   Query 728: 426
   Query 729: 729
   Query 730: 648
   Query 731: 408
   Query 732: 216
   Query 733: 744
   Query 734: 384
   Query 735: 408
   Query 736: 600
   Query 737: 168
   Query 738: 864
   Query 739: 432
   Query 740: 600
   Query 741: 504
   Query 742: 366
   Query 743: 804
   Query 744: 288
   Query 745: 180
   Query 746: 256
   Query 747: 504
   Query 748: 720
   Query 749: 465
   Query 750: 552
   Query 751: 294
   Query 752: 864
   Query 753: 660
   Query 754: 288
   Query 755: 168
   Query 756: 33
   Query 757: 456
   Query 758: 720
   Query 759: 228
   Query 760: 552
   Query 761: 816
   Query 762: 456
   Query 763: 696
   Query 764: 753
   Query 765: 624
   Query 766: 120
   Query 767: 483
   Query 768: 48
   Query 769: 744
   Query 770: 804
   Query 771: 432
   Query 772: 903
   Query 773: 528
   Query 774: 120
   Query 775: 624
   Query 776: 408
   Query 777: 858
   Query 778: 624
   Query 779: 696
   Query 780: 816
   Query 781: 768
   Query 782: 720
   Query 783: 300
   Query 784: 555
   Query 785: 144
   Query 786: 36
   Query 787: 210
   Query 788: 465
   Query 789: 757
   Query 790: 480
   Query 791: 594
Case 9
   Query 1: 28
   Query 2: 524
   Query 3: 231
   Query 4: 486
   Query 5: 561
   Query 6: 384
   Query 7: 0
   Query 8: 864
   Query 9: 600
   Query 10: 138
   Query 11: 486
   Query 12: 714
   Query 13: 60
   Query 14: 447
   Query 15: 240
   Query 16: 600
   Query 17: 840
   Query 18: 456
   Query 19: 360
   Query 20: 486
   Query 21: 672
   Query 22: 848
   Query 23: 114
   Query 24: 870
   Query 25: 744
   Query 26: 720
   Query 27: 504
   Query 28: 528
   Query 29: 600
   Query 30: 837
   Query 31: 144
   Query 32: 816
   Query 33: 324
   Query 34: 24
   Query 35: 528
   Query 36: 798
   Query 37: 363
   Query 38: 576
   Query 39: 96
   Query 40: 144
   Query 41: 486
   Query 42: 372
   Query 43: 60
   Query 44: 0
   Query 45: 144
   Query 46: 372
   Query 47: 864
   Query 48: 78
   Query 49: 444
   Query 50: 48
   Query 51: 372
   Query 52: 144
   Query 53: 432
   Query 54: 657
   Query 55: 180
   Query 56: 486
   Query 57: 144
   Query 58: 672
   Query 59: 828
   Query 60: 828
   Query 61: 792
   Query 62: 216
   Query 63: 234
   Query 64: 543
   Query 65: 576
   Query 66: 216
   Query 67: 258
   Query 68: 300
   Query 69: 144
   Query 70: 600
   Query 71: 576
   Query 72: 144
   Query 73: 780
   Query 74: 276
   Query 75: 708
   Query 76: 312
   Query 77: 720
   Query 78: 624
   Query 79: 96
   Query 80: 672
   Query 81: 684
   Query 82: 828
   Query 83: 444
   Query 84: 144
   Query 85: 486
   Query 86: 363
   Query 87: 144
   Query 88: 684
   Query 89: 828
   Query 90: 630
   Query 91: 144
   Query 92: 144
   Query 93: 120
   Query 94: 384
   Query 95: 870
   Query 96: 828
   Query 97: 636
   Query 98: 144
   Query 99: 822
   Query 100: 288
   Query 101: 201
   Query 102: 672
   Query 103: 384
   Query 104: 372
   Query 105: 306
   Query 106: 756
   Query 107: 486
   Query 108: 456
   Query 109: 624
   Query 110: 600
   Query 111: 864
   Query 112: 384
   Query 113: 768
   Query 114: 132
   Query 115: 816
   Query 116: 624
   Query 117: 579
   Query 118: 612
   Query 119: 60
   Query 120: 30
   Query 121: 684
   Query 122: 696
   Query 123: 240
   Query 124: 144
   Query 125: 684
   Query 126: 156
   Query 127: 210
   Query 128: 138
   Query 129: 444
   Query 130: 828
   Query 131: 456
   Query 132: 288
   Query 133: 300
   Query 134: 69
   Query 135: 768
   Query 136: 847
   Query 137: 699
   Query 138: 258
   Query 139: 72
   Query 140: 301
   Query 141: 600
   Query 142: 0
   Query 143: 84
   Query 144: 342
   Query 145: 636
   Query 146: 48
   Query 147: 144
   Query 148: 840
   Query 149: 372
   Query 150: 312
   Query 151: 204
   Query 152: 135
   Query 153: 846
   Query 154: 792
   Query 155: 528
   Query 156: 210
   Query 157: 729
   Query 158: 894
   Query 159: 312
   Query 160: 48
   Query 161: 120
   Query 162: 144
   Query 163: 48
   Query 164: 771
   Query 165: 228
   Query 166: 408
   Query 167: 624
   Query 168: 528
   Query 169: 600
   Query 170: 213
   Query 171: 498
   Query 172: 600
   Query 173: 288
   Query 174: 203
   Query 175: 752
   Query 176: 324
   Query 177: 828
   Query 178: 84
   Query 179: 486
   Query 180: 120
   Query 181: 702
   Query 182: 60
   Query 183: 714
   Query 184: 144
   Query 185: 756
   Query 186: 240
   Query 187: 258
   Query 188: 465
